"# Beijing Kouding Technology Co., Ltd Geofeed",,,,
# prefix,country_code,region_code,city,postal
103.233.178.0/24,HK,Tsuen Wan,Kwai Chung,
103.233.179.0/24,HK,Tsuen Wan,Kwai Chung,
103.75.82.0/24,HK,Tsuen Wan,Kwai Chung,
103.75.83.0/24,HK,Tsuen Wan,Kwai Chung,
185.7.175.0/24,DE,DE-HE,Frankfurt am Main,
185.72.103.0/24,DE,DE-HE,Frankfurt am Main,
212.6.42.0/24,DE,DE-HE,Frankfurt am Main,
2a13:bc40:1::/48,HK,Tsuen Wan,Kwai Chung,
2a13:bc40:2::/48,HK,Tsuen Wan,Kwai Chung,
2a13:bc40:3::/48,HK,Tsuen Wan,Kwai Chung,
